"MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","NoGarage","NoBsmt","LotFrontageMissing","Artery","Feedr","Norm","PosA","PosN","RRAe","RRAn","RRNe","RRNn","SecondFlr","Remodeled","BrandNew","HighSeason","BedSize","RoomSize"
"20","RL",70,11200,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",3,4,2,4,906,2,0,134,1040,"GasA",5,"Y",5,1040,0,0,1040,1,0,1,0,3,1,2,5,1,0,1,"Detchd",1965,2,1,384,4,4,"Y",0,0,0,0,0,0,1,3,"None",0,2,2008,"WD","Normal",11.7714361601217,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",346.666666666667,208
"60","RL",85,11924,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,4,3,"PConc",5,4,2,7,998,2,0,177,1175,"GasA",5,"Y",5,1182,1142,0,2324,1,0,3,0,4,1,4,11,1,2,5,"BuiltIn",2005,4,3,736,4,4,"Y",147,21,0,0,0,0,1,3,"None",0,7,2006,"New","Partial",12.7512996960135,0,0,0,"0","0","1","0","0","0","0","0","0","1","1","0","1",581,211.272727272727
"20","RL",0,12968,"Pave","None","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,2,3,"CBlock",3,4,2,6,737,2,0,175,912,"GasA",3,"Y",5,912,0,0,912,1,0,1,0,2,1,2,4,1,0,1,"Detchd",1962,2,1,352,4,4,"Y",140,0,0,0,176,0,1,3,"None",0,9,2008,"WD","Normal",11.8775685785581,0,0,1,"0","0","1","0","0","0","0","0","0","0","0","0","0",456,228
"20","RL",91,10652,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,3,3,"PConc",4,4,4,2,0,2,0,1494,1494,"GasA",5,"Y",5,1494,0,0,1494,0,0,2,0,3,1,3,7,1,1,5,"Attchd",2006,3,3,840,4,4,"Y",160,33,0,0,0,0,1,3,"None",0,8,2007,"New","Partial",12.5407575715773,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","0",498,213.428571428571
"20","RL",0,10920,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,2,3,"CBlock",3,4,2,5,733,2,0,520,1253,"GasA",3,"Y",5,1253,0,0,1253,1,0,1,1,2,1,2,5,1,1,3,"Attchd",1960,3,1,352,4,4,"Y",0,213,176,0,0,0,1,2,"None",0,5,2008,"WD","Normal",11.9640010843304,0,0,1,"0","0","1","0","0","0","0","0","0","0","0","0","1",626.5,250.6
"45","RM",51,6120,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"BrkTil",3,4,2,2,0,2,0,832,832,"GasA",5,"Y",4,854,0,0,854,0,0,1,0,2,1,2,5,1,0,1,"Detchd",1991,2,2,576,4,4,"Y",48,112,0,0,0,0,1,5,"None",0,7,2007,"WD","Normal",11.7905572015685,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","1",427,170.8
"20","RL",0,11241,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,2,3,"CBlock",3,4,2,6,578,2,0,426,1004,"GasA",5,"Y",5,1004,0,0,1004,1,0,1,0,2,1,2,5,1,1,4,"Attchd",1970,4,2,480,4,4,"Y",0,0,0,0,0,0,1,3,"Shed",700,3,2010,"WD","Normal",11.9117015849276,0,0,1,"0","0","1","0","0","0","0","0","0","0","0","0","0",502,200.8
"90","RL",72,10791,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"Slab",1,1,1,1,0,1,0,0,0,"GasA",3,"Y",5,1296,0,0,1296,0,0,2,0,2,2,2,6,1,0,1,"CarPort",1967,2,2,516,4,4,"Y",0,0,0,0,0,0,1,3,"Shed",500,10,2006,"WD","Normal",11.4075649493124,0,1,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",648,216
"20","RL",66,13695,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"PConc",3,4,2,7,646,2,0,468,1114,"GasA",5,"Y",5,1114,0,0,1114,1,0,1,1,3,1,3,6,1,0,1,"Detchd",2004,2,2,576,4,4,"Y",0,102,0,0,0,0,1,3,"None",0,6,2008,"WD","Normal",11.9766594812024,0,0,0,"0","0","1","0","0","1","0","0","0","0","0","0","1",371.333333333333,185.666666666667
"20","RL",70,7560,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","1Fam","1Story",5,6,1958,1965,"Hip","CompShg","BrkFace","Plywood","None",0,2,3,"CBlock",3,4,2,3,504,2,0,525,1029,"GasA",3,"Y",5,1339,0,0,1339,0,0,1,0,3,1,2,6,4,0,1,"Attchd",1958,2,1,294,4,4,"Y",0,0,0,0,0,0,1,4,"None",0,5,2009,"COD","Abnorml",11.8422292121128,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","1",446.333333333333,223.166666666667
"60","RL",101,14215,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","1Fam","2Story",8,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",380,3,3,"PConc",5,4,4,2,0,2,0,1158,1158,"GasA",5,"Y",5,1158,1218,0,2376,0,0,3,1,4,1,3,9,1,1,5,"BuiltIn",2005,3,3,853,4,4,"Y",240,154,0,0,0,0,1,3,"None",0,11,2006,"New","Partial",12.6925031124614,0,0,0,"0","0","1","0","0","0","0","0","0","1","1","0","0",594,264
"45","RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","1Fam","1.5Unf",7,7,1930,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"PConc",3,4,2,2,0,2,0,637,637,"GasA",5,"Y",3,1108,0,0,1108,0,0,1,0,3,1,3,6,1,1,5,"Attchd",1930,2,1,280,4,4,"N",0,0,205,0,0,0,1,5,"None",0,6,2007,"WD","Normal",11.8451027773086,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","1",369.333333333333,184.666666666667
"20","RL",75,9742,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","1Fam","1Story",8,5,2002,2002,"Hip","CompShg","VinylSd","VinylSd","BrkFace",281,3,3,"PConc",4,4,2,2,0,2,0,1777,1777,"GasA",5,"Y",5,1795,0,0,1795,0,0,2,0,3,1,3,7,1,1,5,"Attchd",2002,3,2,534,4,4,"Y",171,159,0,0,0,0,1,3,"None",0,9,2008,"WD","Normal",12.3458345879053,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",598.333333333333,256.428571428571
"120","RM",44,4224,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","TwnhsE","1Story",5,7,1976,1976,"Gable","CompShg","CemntBd","CmentBd","None",0,2,3,"PConc",4,4,2,7,840,2,0,200,1040,"GasA",3,"Y",5,1060,0,0,1060,1,0,1,0,3,1,2,6,1,1,4,"Attchd",1976,2,2,572,4,4,"Y",100,110,0,0,0,0,1,3,"None",0,6,2007,"WD","Normal",11.7745202026587,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","1",353.333333333333,176.666666666667
"20","RL",0,8246,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","1Fam","1Story",5,8,1968,2001,"Gable","CompShg","Plywood","Plywood","None",0,2,4,"CBlock",3,4,3,4,188,6,668,204,1060,"GasA",5,"Y",5,1060,0,0,1060,1,0,1,0,3,1,3,6,1,1,4,"Attchd",1968,2,1,270,4,4,"Y",406,90,0,0,0,0,1,4,"None",0,5,2010,"WD","Normal",11.9447078813958,0,0,1,"0","0","1","0","0","0","0","0","0","0","1","0","1",353.333333333333,176.666666666667
"20","RL",110,14230,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",640,3,3,"PConc",4,4,2,2,0,2,0,1566,1566,"GasA",5,"Y",5,1600,0,0,1600,0,0,2,0,3,1,3,7,1,1,5,"Attchd",2007,3,3,890,4,4,"Y",0,56,0,0,0,0,1,3,"None",0,7,2009,"WD","Normal",12.4541039123522,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","1",533.333333333333,228.571428571429
"20","RL",60,7200,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","NAmes","1Fam","1Story",5,7,1951,2000,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,2,3,"CBlock",3,4,3,5,234,4,486,180,900,"GasA",3,"Y",5,900,0,0,900,0,1,1,0,3,1,3,5,1,0,1,"Detchd",2005,2,2,576,4,4,"Y",222,32,0,0,0,0,1,3,"None",0,5,2010,"WD","Normal",11.8115474774603,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","1",300,180
"20","RL",98,11478,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Stone",200,3,3,"PConc",5,4,2,7,1218,2,0,486,1704,"GasA",5,"Y",5,1704,0,0,1704,1,0,2,0,3,1,3,7,1,1,5,"Attchd",2008,3,3,772,4,4,"Y",0,50,0,0,0,0,1,3,"None",0,5,2010,"WD","Normal",12.6313403809345,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","1",568,243.428571428571
"20","RL",47,16321,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","1Fam","1Story",5,6,1957,1997,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"CBlock",3,4,5,5,1277,2,0,207,1484,"GasA",3,"Y",5,1600,0,0,1600,1,0,1,0,2,1,2,6,1,2,5,"Attchd",1957,3,1,319,4,4,"Y",288,258,0,0,0,0,1,3,"None",0,12,2006,"WD","Normal",12.2428866186529,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","0",800,266.666666666667
"30","RM",60,6324,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","1Fam","1Story",4,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,2,3,"BrkTil",3,4,2,2,0,2,0,520,520,"GasA",2,"N",5,520,0,0,520,0,0,1,0,1,1,1,4,1,0,1,"Detchd",1920,2,1,240,3,4,"Y",49,0,87,0,0,0,1,3,"None",0,5,2008,"WD","Normal",11.1345890242503,0,0,0,"0","1","0","0","0","0","0","0","1","0","1","0","1",520,130
"70","C (all)",50,8500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","1Fam","2Story",4,4,1920,1950,"Gambrel","CompShg","BrkFace","BrkFace","None",0,2,2,"BrkTil",3,4,2,2,0,2,0,649,649,"GasA",3,"N",5,649,668,0,1317,0,0,1,0,3,1,2,6,1,0,1,"Detchd",1920,2,1,250,4,3,"N",0,54,172,0,0,0,1,4,"None",0,7,2008,"WD","Normal",10.5966347330961,0,0,0,"0","1","1","0","0","0","0","0","0","1","1","0","1",439,219.5
"20","RL",0,8544,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","1Fam","1Story",5,6,1966,2006,"Gable","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",3,4,2,2,0,2,0,1228,1228,"GasA",4,"Y",5,1228,0,0,1228,0,0,1,1,3,1,3,6,1,0,1,"Attchd",1966,2,1,271,4,4,"Y",0,65,0,0,0,0,1,4,"None",0,6,2008,"WD","Normal",11.9140478236443,0,0,1,"0","0","1","0","0","0","0","0","0","0","1","0","1",409.333333333333,204.666666666667
"20","RL",85,11049,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,3,3,"PConc",5,4,4,2,0,2,0,1234,1234,"GasA",5,"Y",5,1234,0,0,1234,0,0,2,0,3,1,3,7,1,0,1,"Attchd",2007,3,2,484,4,4,"Y",0,30,0,0,0,0,1,3,"None",0,1,2008,"WD","Normal",12.1001564199386,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",411.333333333333,176.285714285714
"20","RL",70,10552,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","NAmes","1Fam","1Story",5,5,1959,1959,"Hip","CompShg","BrkFace","BrkFace","None",0,2,3,"CBlock",3,4,2,4,1018,2,0,380,1398,"GasA",4,"Y",5,1700,0,0,1700,0,1,1,1,4,1,3,6,1,1,5,"Attchd",1959,3,2,447,4,4,"Y",0,38,0,0,0,0,1,3,"None",0,4,2010,"WD","Normal",12.0167264737993,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",425,283.333333333333
"120","RL",60,7313,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",246,4,3,"PConc",5,4,2,7,1153,2,0,408,1561,"GasA",5,"Y",5,1561,0,0,1561,1,0,2,0,2,1,4,6,1,1,5,"Attchd",2005,4,2,556,4,4,"Y",203,47,0,0,0,0,1,3,"None",0,8,2007,"WD","Normal",12.5335762121686,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",780.5,260.166666666667
"60","RL",108,13418,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","1Fam","2Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",132,3,3,"PConc",5,4,4,2,0,2,0,1117,1117,"GasA",5,"Y",5,1132,1320,0,2452,0,0,3,1,4,1,3,9,1,1,5,"BuiltIn",2004,4,3,691,4,4,"Y",113,32,0,0,0,0,1,3,"None",0,9,2006,"WD","Normal",12.6410965558799,0,0,0,"0","0","1","0","0","0","0","0","0","1","1","0","0",613,272.444444444444
"20","RL",112,10859,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","1Fam","1Story",5,5,1994,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,2,3,"PConc",4,4,2,2,0,2,0,1097,1097,"GasA",5,"Y",5,1097,0,0,1097,0,0,1,1,3,1,2,6,1,0,1,"Attchd",1995,2,2,672,4,4,"Y",392,64,0,0,0,0,1,3,"None",0,6,2009,"WD","Normal",11.8844890214027,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","1",365.666666666667,182.833333333333
"20","RL",74,8532,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","1Fam","1Story",5,6,1954,1990,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,2,3,"CBlock",3,4,2,4,1213,2,0,84,1297,"GasA",4,"Y",5,1297,0,0,1297,0,1,1,0,3,1,2,5,1,1,4,"Attchd",1954,4,2,498,4,4,"Y",0,0,0,0,0,0,1,3,"None",0,10,2009,"WD","Normal",11.9381932003746,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","0",432.333333333333,259.4
"20","RL",68,7922,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","1Fam","1Story",5,7,1953,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,2,4,"CBlock",3,4,2,7,731,2,0,326,1057,"GasA",3,"Y",5,1057,0,0,1057,1,0,1,0,3,1,3,5,1,0,1,"Detchd",1953,2,1,246,4,4,"Y",0,52,0,0,0,0,1,3,"None",0,1,2010,"WD","Abnorml",11.5991031612113,0,0,0,"0","0","1","0","0","0","0","0","0","0","1","0","0",352.333333333333,211.4
"90","RL",65,6040,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Duplex","1Story",4,5,1955,1955,"Gable","CompShg","AsbShng","Plywood","None",0,2,3,"PConc",1,1,1,1,0,1,0,0,0,"GasA",3,"N",2,1152,0,0,1152,0,0,2,0,2,2,1,6,1,0,1,"None",1955,1,0,0,1,1,"N",0,0,0,0,0,0,1,3,"None",0,6,2008,"WD","AdjLand",11.3144745262464,1,1,0,"0","0","1","0","0","0","0","0","0","0","0","0","1",576,192
"20","RL",84,8658,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,2,3,"CBlock",3,4,2,4,643,2,0,445,1088,"GasA",5,"Y",5,1324,0,0,1324,0,0,2,0,3,1,2,6,1,1,4,"Attchd",1965,3,2,440,4,4,"Y",0,138,0,0,0,0,1,2,"None",0,12,2006,"WD","Abnorml",11.982929094216,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",441.333333333333,220.666666666667
"20","RL",115,16905,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Timber","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","VinylSd","VinylSd","None",0,2,4,"CBlock",3,4,5,5,967,2,0,383,1350,"GasA",4,"Y",5,1328,0,0,1328,0,1,1,1,2,1,2,5,1,2,5,"Attchd",1959,3,1,308,4,4,"P",0,104,0,0,0,0,1,3,"None",0,7,2007,"WD","Normal",12.0435537160324,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","1",664,265.6
"85","RL",0,9180,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","1Fam","SFoyer",5,7,1983,1983,"Gable","CompShg","HdBoard","HdBoard","None",0,2,3,"CBlock",4,4,4,6,747,3,93,0,840,"GasA",4,"Y",5,884,0,0,884,1,0,1,0,2,1,3,5,1,0,1,"Attchd",1983,3,2,504,4,5,"Y",240,0,0,0,0,0,1,4,"None",0,12,2007,"WD","Normal",11.8775685785581,0,0,1,"0","0","1","0","0","0","0","0","0","0","0","0","0",442,176.8
"20","RL",0,9200,"Pave","None","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","1Fam","1Story",5,6,1975,1980,"Hip","CompShg","VinylSd","VinylSd","None",0,2,3,"CBlock",4,4,4,3,280,5,491,167,938,"GasA",3,"Y",5,938,0,0,938,1,0,1,0,3,1,2,5,1,0,1,"Detchd",1977,2,1,308,4,4,"Y",145,0,0,0,0,0,1,4,"None",0,7,2008,"WD","Normal",11.7772109596156,0,0,1,"0","0","1","0","0","0","0","0","0","0","1","0","1",312.666666666667,187.6
"20","RL",70,7945,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NAmes","1Fam","1Story",5,6,1959,1959,"Gable","CompShg","BrkFace","Wd Sdng","None",0,2,3,"CBlock",3,4,2,6,179,5,506,465,1150,"GasA",5,"Y",4,1150,0,0,1150,1,0,1,0,3,1,2,6,1,0,1,"Attchd",1959,3,1,300,4,4,"Y",0,0,0,0,0,0,1,3,"None",0,5,2006,"WD","Normal",11.8565151693603,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","1",383.333333333333,191.666666666667
"120","RL",61,7658,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","TwnhsE","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,4,3,"PConc",5,4,2,7,456,2,0,1296,1752,"GasA",5,"Y",5,1752,0,0,1752,1,0,2,0,2,1,4,6,1,1,5,"Attchd",2005,3,2,576,4,4,"Y",196,82,0,0,0,0,1,3,"None",0,2,2010,"WD","Normal",12.6757637259376,0,0,0,"0","0","1","0","0","0","0","0","0","0","0","0","0",876,292
